timestamp,lat,lon
0.0,40.7357,-74.1724
0.5,40.735913,-74.172124
1.0,40.736126,-74.171849
1.5,40.736339,-74.171573
2.01,40.736552,-74.171297
2.51,40.736765,-74.171022
3.01,40.736978,-74.170746
3.51,40.737191,-74.17047
4.01,40.737404,-74.170194
4.51,40.737617,-74.169919
5.01,40.73783,-74.169643
5.51,40.738043,-74.169367
6.02,40.738256,-74.169092
6.52,40.738469,-74.168816
7.02,40.738682,-74.16854
7.52,40.738895,-74.168265
8.02,40.739109,-74.167989
8.52,40.739322,-74.167713
9.02,40.739535,-74.167438
9.52,40.739748,-74.167162
10.03,40.739961,-74.166886
10.53,40.740174,-74.166611
11.03,40.740387,-74.166335
11.53,40.7406,-74.166059
12.03,40.740813,-74.165783
12.53,40.741026,-74.165508
13.03,40.741239,-74.165232
13.53,40.741452,-74.164956
14.04,40.741665,-74.164681
14.54,40.741878,-74.164405
15.04,40.742091,-74.164129
15.54,40.742304,-74.163854
16.04,40.742517,-74.163578
16.54,40.74273,-74.163302
17.04,40.742943,-74.163027
17.54,40.743156,-74.162751
18.05,40.743369,-74.162475
18.55,40.743582,-74.162199
19.05,40.743795,-74.161924
19.55,40.744008,-74.161648
20.05,40.744221,-74.161372
20.55,40.744434,-74.161097
21.05,40.744647,-74.160821
21.55,40.74486,-74.160545
22.06,40.745073,-74.16027
22.56,40.745286,-74.159994
23.06,40.745499,-74.159718
23.56,40.745713,-74.159443
24.06,40.745926,-74.159167
24.56,40.746139,-74.158891
25.06,40.746352,-74.158616
25.56,40.746565,-74.15834
26.07,40.746778,-74.158064
26.57,40.746991,-74.157788
27.07,40.747204,-74.157513
27.57,40.747417,-74.157237
28.07,40.74763,-74.156961
28.57,40.747843,-74.156686
29.07,40.748056,-74.15641
29.57,40.748269,-74.156134
30.08,40.748482,-74.155859
30.58,40.748695,-74.155583
31.08,40.748908,-74.155307
31.58,40.749121,-74.155032
32.08,40.749334,-74.154756
32.58,40.749547,-74.15448
33.08,40.74976,-74.154205
33.58,40.749973,-74.153929
34.09,40.750186,-74.153653
34.59,40.750399,-74.153377
35.09,40.750612,-74.153102
35.59,40.750825,-74.152826
36.09,40.751038,-74.15255
36.59,40.751251,-74.152275
37.09,40.751464,-74.151999
37.59,40.751677,-74.151723
38.1,40.75189,-74.151448
38.6,40.752104,-74.151172
39.1,40.752317,-74.150896
39.6,40.75253,-74.150621
40.1,40.752743,-74.150345
40.6,40.752956,-74.150069
41.1,40.753169,-74.149793
41.6,40.753382,-74.149518
42.11,40.753595,-74.149242
42.61,40.753808,-74.148966
43.11,40.754021,-74.148691
43.61,40.754234,-74.148415
44.11,40.754447,-74.148139
44.61,40.75466,-74.147864
45.11,40.754873,-74.147588
45.61,40.755086,-74.147312
46.12,40.755299,-74.147037
46.62,40.755512,-74.146761
47.12,40.755725,-74.146485
