geoid,county,municipality,lat,lon,median_income,pct_housing_pre_1950,poverty_rate,children_under_6_rate,lead_90p_ppb,ph_mean,hardness_mg_l,chlorine_residual_mg_l,distance_to_tri_km,winter_freeze_thaw_days,median_housing_year,alkalinity_mg_l,pws_action_level_exceedance_5y,pws_any_sample_gt15_3y,q1_lead_ppb,q2_lead_ppb,q3_lead_ppb,q4_lead_ppb,q5_lead_ppb,q6_lead_ppb,q7_lead_ppb,q8_lead_ppb,risk_label
340010001001,Atlantic,Atlantic Area 100,39.402,-74.70800000000001,38200.0,0.4460431654676259,0.12,0.0566801619433198,11.200317473154861,7.408050034663881,124.59259918008489,1.4422816804964176,7.656385772044811,40.11283650111846,1956.0,55.087572815178525,0,0,11.430854426225858,11.099419083719772,12.673394998749506,8.215314793148842,12.789628782726728,8.941092246402487,10.559412004786465,10.721983642053132,0
340010001002,Atlantic,Atlantic Area 100,39.410000000000004,-74.7,49792.0,0.2547993019197208,0.12,0.028002947678703,6.318480313385727,7.494090920919996,153.73838147170494,1.5817820005018677,6.596510683379726,31.766403430715147,1958.0,50.72820194093443,0,1,6.664639413997023,7.281880621791777,4.0764403467938966,5.72762680133527,7.144777787533521,6.947019757833785,8.429624725928416,6.341043730431149,1
340010002001,Atlantic,Atlantic Area 200,39.412000000000006,-74.70800000000001,35530.0,0.4193548387096774,0.12,0.0348369807949977,11.28466202450927,7.1164128148364725,117.03536117355738,1.4272794831640891,3.394066481179916,29.340352018361695,1954.0,39.119511288399075,0,1,11.983752946209712,10.640667818912911,13.071342133854595,8.585260100117377,13.619848351951145,11.110272096774924,12.116486999258095,10.888705114451334,1
340010002002,Atlantic,Atlantic Area 200,39.42,-74.7,48600.0,0.8328767123287671,0.12,0.0364963503649635,20.547979185147447,6.954396924323319,133.09254832448923,1.6017041831336822,3.9176507911685596,29.24473295522147,1938.0,26.866655595489483,0,1,20.304592925094642,20.059022829700538,21.90553849253937,19.948354988136362,22.682267451520108,19.33272514626488,20.976345589869872,20.817706637254865,1
340010002003,Atlantic,Atlantic Area 200,39.428000000000004,-74.69200000000001,105577.0,0.3700305810397553,0.12,0.0,3.607378085796169,7.2640538387169755,122.3861061730652,1.7480480781550765,9.124412594609948,34.284683609440535,1962.0,50.50004905629576,0,0,3.5414188190623515,4.052445832248113,4.212268603680094,0.4930178071845286,4.333422231653749,4.502131332142589,5.101770679177344,5.7459938932642665,0
340010003001,Atlantic,Atlantic Area 300,39.422000000000004,-74.70800000000001,58808.0,0.769620253164557,0.12,0.0591549295774647,16.842809909225057,7.023788380996401,101.2731819818087,1.7139951549631858,3.870910504855941,28.312503941724664,1938.0,34.03193958578978,0,1,16.908749246806615,15.179580600147538,16.526332561219302,15.176550293651072,18.386454159179742,16.377596959307503,18.007789860235015,18.41082157870554,1
340010003002,Atlantic,Atlantic Area 300,39.43,-74.7,41625.0,0.5937961595273265,0.12,0.1611418047882136,19.41651584662788,6.760411839696646,134.5476450794421,1.884367913031562,6.73405793133265,33.78682167509442,1938.0,43.14941803391017,1,0,20.313335093652423,17.603750750431644,20.61350467111563,19.559618660746946,17.851693100898878,20.08299445121168,20.529430837861405,23.063432904457063,1
340010003003,Atlantic,Atlantic Area 300,39.438,-74.69200000000001,58182.0,0.4146341463414634,0.12,0.0444444444444444,12.239963009587866,7.152428760970269,121.16650889271517,1.6902100078937434,5.38979703985815,36.28937125898878,1960.0,59.96621662207356,0,1,14.589632247214587,12.513287280042796,14.339244293845482,12.548273691962134,10.85932754208733,13.112099015668244,13.134868951688999,12.675169314365977,1
340010004001,Atlantic,Atlantic Area 400,39.432,-74.70800000000001,33666.0,0.3368121442125237,0.12,0.0260723296888141,10.794748029320319,7.236101971838195,131.66849459609608,1.2742276357591766,9.228436890500625,31.422817576627498,1965.0,64.96792544780592,0,0,10.004484563935803,14.114275468707099,10.524124076757207,9.459892071250346,12.955407708571892,14.405080972892028,11.979498496887567,12.50588825457674,0
340010004002,Atlantic,Atlantic Area 400,39.440000000000005,-74.7,36220.0,0.6222760290556901,0.12,0.1499380421313506,13.642912602147785,7.129793795224993,139.71662755086246,1.9386000527260019,7.022732207537261,35.8713095191223,1938.0,59.028106822775584,0,1,14.485973200486617,14.167788810760092,15.268033079750262,13.783048181822789,14.451444523659323,13.770276803211706,13.772040552396831,13.630442598041016,1
